,Game ID,Game Event ID,Player ID,Player Name,Team ID,Team Name,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Shot Zone Basic,Shot Zone Area,Shot Zone Range,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Home Team,Away Team,Season Type
4271668,21800859,123,2548,Dwyane Wade,1610612748,Miami Heat,1,2,8,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,-13,1,20190213,DAL,MIA,Regular Season
2127433,20801157,82,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,2,43,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-119,219,0,20090407,OKC,SAS,Regular Season
1385486,20400746,306,2544,LeBron James,1610612739,Cleveland Cavaliers,3,4,43,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,110,174,0,20050213,CLE,LAL,Regular Season
3673568,21600482,125,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,10,53,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,10,75,0,20161228,SAS,PHX,Regular Season
3221886,21400972,35,101108,Chris Paul,1610612746,Los Angeles Clippers,1,7,23,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-179,41,1,20150313,DAL,LAC,Regular Season
1762058,20600781,22,2225,Tony Parker,1610612759,San Antonio Spurs,1,8,28,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-168,72,1,20070214,DET,SAS,Regular Season
3681149,21600351,8,201142,Kevin Durant,1610612744,Golden State Warriors,1,10,30,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,200,0,20161210,MEM,GSW,Regular Season
2532881,21001006,30,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,8,7,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-81,137,0,20110316,MIA,OKC,Regular Season
1457958,20400126,221,977,Kobe Bryant,1610612747,Los Angeles Lakers,3,11,39,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20041119,PHX,LAL,Regular Season
2314617,20900817,353,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,3,15,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,19,0,20100220,NYK,OKC,Regular Season
3993484,21701153,505,203110,Draymond Green,1610612744,Golden State Warriors,4,6,22,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,9,289,0,20180401,GSW,PHX,Regular Season
2055627,20801227,333,101108,Chris Paul,1610612740,New Orleans Hornets,4,9,23,Pullup Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-103,25,1,20090415,SAS,NOH,Regular Season
3233616,21400002,203,1495,Tim Duncan,1610612759,San Antonio Spurs,2,3,13,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,29,48,1,20141028,SAS,DAL,Regular Season
4171438,21800964,518,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,9,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-237,69,0,20190305,GSW,BOS,Regular Season
4369637,21900633,412,201566,Russell Westbrook,1610612745,Houston Rockets,3,9,53,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,13,0,20200118,HOU,LAL,Regular Season
3832808,21600429,145,2544,LeBron James,1610612739,Cleveland Cavaliers,2,8,46,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,0,20161221,CLE,MIL,Regular Season
3751079,21600801,226,202695,Kawhi Leonard,1610612759,San Antonio Spurs,3,10,40,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-117,237,0,20170210,DET,SAS,Regular Season
512230,20000230,461,1495,Tim Duncan,1610612759,San Antonio Spurs,4,2,26,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-44,45,1,20001201,LAL,SAS,Regular Season
4168239,21800774,411,201935,James Harden,1610612745,Houston Rockets,3,3,32,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,65,253,0,20190201,DEN,HOU,Regular Season
4046237,21700781,584,2225,Tony Parker,1610612759,San Antonio Spurs,4,3,53,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-65,84,1,20180203,SAS,UTA,Regular Season
1272027,20400479,265,1495,Tim Duncan,1610612759,San Antonio Spurs,3,7,38,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,15,0,20050108,SAS,DEN,Regular Season
